Local time,Open,High,Low,Close,Volume
30.01.2004 06:00:00.000 GMT+0800,1.24062,1.24911,1.23506,1.24747,1128529.1074
31.01.2004 06:00:00.000 GMT+0800,1.24747,1.24747,1.24747,1.24747,0
01.02.2004 06:00:00.000 GMT+0800,1.24747,1.24747,1.24747,1.24747,0
02.02.2004 06:00:00.000 GMT+0800,1.24696,1.24858,1.23897,1.24237,1128944.5996
03.02.2004 06:00:00.000 GMT+0800,1.24248,1.25973,1.24139,1.25407,1130994.3964
04.02.2004 06:00:00.000 GMT+0800,1.25423,1.25609,1.24929,1.25327,1134170.3007999999
05.02.2004 06:00:00.000 GMT+0800,1.25345,1.26364,1.25177,1.25460,1118230.1993000002
06.02.2004 06:00:00.000 GMT+0800,1.25471,1.27243,1.25118,1.27026,1127776.4123000002
07.02.2004 06:00:00.000 GMT+0800,1.27026,1.27026,1.27026,1.27026,0
08.02.2004 06:00:00.000 GMT+0800,1.27026,1.27026,1.27026,1.27026,0
09.02.2004 06:00:00.000 GMT+0800,1.26054,1.27599,1.25980,1.26955,1140175.8983
10.02.2004 06:00:00.000 GMT+0800,1.26970,1.27863,1.26664,1.26689,1122476.5957999998
11.02.2004 06:00:00.000 GMT+0800,1.26698,1.28374,1.26496,1.28321,1125278.0997000001
12.02.2004 06:00:00.000 GMT+0800,1.28335,1.28445,1.27887,1.28084,1139512.1854
13.02.2004 06:00:00.000 GMT+0800,1.28077,1.28918,1.27145,1.27315,1135078.9981
14.02.2004 06:00:00.000 GMT+0800,1.27315,1.27315,1.27315,1.27315,0
15.02.2004 06:00:00.000 GMT+0800,1.27315,1.27315,1.27315,1.27315,0
16.02.2004 06:00:00.000 GMT+0800,1.27444,1.27890,1.27150,1.27697,1119951.0936999999
17.02.2004 06:00:00.000 GMT+0800,1.27695,1.28766,1.27549,1.28398,1128467.7031
