Local time,Open,High,Low,Close,Volume
21.05.2003 01:00:00.000 GMT+0800,1.29300,1.29496,1.28964,1.29133,114350.9004
21.05.2003 05:00:00.000 GMT+0800,1.29189,1.29288,1.28635,1.28816,32166.9995
21.05.2003 09:00:00.000 GMT+0800,1.28846,1.29019,1.28783,1.28963,30549.3003
21.05.2003 13:00:00.000 GMT+0800,1.28966,1.29100,1.28616,1.28839,30568.799799999997
21.05.2003 17:00:00.000 GMT+0800,1.28855,1.29055,1.28613,1.28990,32708.8999
21.05.2003 21:00:00.000 GMT+0800,1.29013,1.29334,1.28443,1.29049,87114.3003
22.05.2003 01:00:00.000 GMT+0800,1.29057,1.29818,1.28909,1.29644,113566.3964
22.05.2003 05:00:00.000 GMT+0800,1.29666,1.30077,1.29585,1.29708,31890.3003
22.05.2003 09:00:00.000 GMT+0800,1.29700,1.30001,1.29633,1.29799,30239.500500000002
22.05.2003 13:00:00.000 GMT+0800,1.29783,1.30195,1.29637,1.29721,29564.7002
22.05.2003 17:00:00.000 GMT+0800,1.29696,1.29735,1.29014,1.29039,32437.1997
22.05.2003 21:00:00.000 GMT+0800,1.29042,1.29682,1.28880,1.29371,87313.19870000001
23.05.2003 01:00:00.000 GMT+0800,1.29362,1.29602,1.29259,1.29554,114064.70019999999
23.05.2003 05:00:00.000 GMT+0800,1.29546,1.29786,1.29367,1.29737,29826
23.05.2003 09:00:00.000 GMT+0800,1.29699,1.29839,1.29555,1.29741,31451.7998
23.05.2003 13:00:00.000 GMT+0800,1.29740,1.30286,1.29622,1.29775,31816.199200000003
23.05.2003 17:00:00.000 GMT+0800,1.29702,1.29732,1.28676,1.29073,30993.8003
23.05.2003 21:00:00.000 GMT+0800,1.29060,1.29426,1.28930,1.29241,87609.3013
24.05.2003 01:00:00.000 GMT+0800,1.29254,1.29326,1.28724,1.28811,114236.20019999999
24.05.2003 05:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
24.05.2003 09:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
24.05.2003 13:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
24.05.2003 17:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
24.05.2003 21:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 01:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 05:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 09:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 13:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 17:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
25.05.2003 21:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
26.05.2003 01:00:00.000 GMT+0800,1.28811,1.28811,1.28811,1.28811,0
26.05.2003 05:00:00.000 GMT+0800,1.29070,1.29154,1.28827,1.29136,32594.699699999997
26.05.2003 09:00:00.000 GMT+0800,1.29142,1.29213,1.29030,1.29093,30552.6001
26.05.2003 13:00:00.000 GMT+0800,1.29065,1.29126,1.28933,1.28996,30143.5
26.05.2003 17:00:00.000 GMT+0800,1.28972,1.29285,1.28847,1.29215,31439.5
26.05.2003 21:00:00.000 GMT+0800,1.29204,1.29252,1.28651,1.28727,86739.0005
27.05.2003 01:00:00.000 GMT+0800,1.28711,1.28776,1.28566,1.28721,110932.3008
27.05.2003 05:00:00.000 GMT+0800,1.28718,1.28850,1.28600,1.28700,24023.8999
27.05.2003 09:00:00.000 GMT+0800,1.28680,1.28740,1.28290,1.28420,2409
