Local time,Open,High,Low,Close,Volume
30.08.2017 05:00:00.000 GMT+0800,4597,4640,4500,4575,1727.7911000000001
31.08.2017 05:00:00.000 GMT+0800,4575,4769,4557,4742,1569.6657
01.09.2017 05:00:00.000 GMT+0800,4742,4745,4727,4739,134.15699999999998
02.09.2017 05:00:00.000 GMT+0800,4739,4739,4739,4739,0
03.09.2017 05:00:00.000 GMT+0800,4739,4739,4739,4739,0
04.09.2017 05:00:00.000 GMT+0800,4626,4641,4166,4367,2114.934
05.09.2017 05:00:00.000 GMT+0800,4367,4546,4138,4460,2697.0431000000003
06.09.2017 05:00:00.000 GMT+0800,4460,4690,4415,4569,2604.1743000000006
07.09.2017 05:00:00.000 GMT+0800,4569,4691,4483,4576,3231.6051
08.09.2017 05:00:00.000 GMT+0800,4598,4694,4140,4248,2702.5641000000005
09.09.2017 05:00:00.000 GMT+0800,4248,4248,4248,4248,0
10.09.2017 05:00:00.000 GMT+0800,4248,4248,4248,4248,0
11.09.2017 05:00:00.000 GMT+0800,4289,4380,4114,4193,3738.3614999999995
12.09.2017 05:00:00.000 GMT+0800,4196,4386,4080,4180,2093.8996
13.09.2017 05:00:00.000 GMT+0800,4180,4212,3737,3898,2816.5358999999994
14.09.2017 05:00:00.000 GMT+0800,3898,3958,3246,3392,2930.169
15.09.2017 05:00:00.000 GMT+0800,3392,3854,2975,3726,3424.503199999999
16.09.2017 05:00:00.000 GMT+0800,3726,3726,3726,3726,0
17.09.2017 05:00:00.000 GMT+0800,3726,3726,3726,3726,0
18.09.2017 05:00:00.000 GMT+0800,3748,4127,3705,4007,3348.3268
19.09.2017 05:00:00.000 GMT+0800,4007,4124,3851,3906,2569.9379000000004
20.09.2017 05:00:00.000 GMT+0800,3911,4046,3837,3960,2259.4912
21.09.2017 05:00:00.000 GMT+0800,3959,3975,3573,3649,2529.5969000000005
22.09.2017 05:00:00.000 GMT+0800,3650,3763,3511,3616,1308.7165000000002
23.09.2017 05:00:00.000 GMT+0800,3616,3616,3616,3616,0
24.09.2017 05:00:00.000 GMT+0800,3616,3616,3616,3616,0
25.09.2017 05:00:00.000 GMT+0800,3670,3961,3664,3942,902.2971000000001
26.09.2017 05:00:00.000 GMT+0800,3942,3965,3855,3908,2013.0602
27.09.2017 05:00:00.000 GMT+0800,3908,4193,3875,4154,2035.868
28.09.2017 05:00:00.000 GMT+0800,4154,4277,4127,4165,2371.4526
29.09.2017 05:00:00.000 GMT+0800,4165,4222,4018,4173,1616.5841999999998
30.09.2017 05:00:00.000 GMT+0800,4173,4173,4173,4173,0
01.10.2017 05:00:00.000 GMT+0800,4173,4173,4173,4173,0
02.10.2017 05:00:00.000 GMT+0800,4388,4470,4361,4393,867.8932999999998
03.10.2017 05:00:00.000 GMT+0800,4392,4431,4236,4285,1028.7608
04.10.2017 05:00:00.000 GMT+0800,4284,4353,4185,4201,1508.7939999999999
05.10.2017 05:00:00.000 GMT+0800,4201,4360,4146,4347,1436.2171
06.10.2017 05:00:00.000 GMT+0800,4347,4418,4297,4341,1444.4003000000002
07.10.2017 05:00:00.000 GMT+0800,4341,4341,4341,4341,0
08.10.2017 05:00:00.000 GMT+0800,4341,4341,4341,4341,0
09.10.2017 05:00:00.000 GMT+0800,4583,4871,4557,4844,1829.6828
10.10.2017 05:00:00.000 GMT+0800,4843,4927,4740,4873,2015.7625000000003
11.10.2017 05:00:00.000 GMT+0800,4873,4876,4710,4827,1814.9327999999998
12.10.2017 05:00:00.000 GMT+0800,4827,5391,4791,5319,2376.8234
13.10.2017 05:00:00.000 GMT+0800,5318,5868,5279,5617,2388.0664999999995
14.10.2017 05:00:00.000 GMT+0800,5617,5617,5617,5617,0
15.10.2017 05:00:00.000 GMT+0800,5617,5617,5617,5617,0
16.10.2017 05:00:00.000 GMT+0800,5525,5758,5501,5679,2338.1110000000003
17.10.2017 05:00:00.000 GMT+0800,5681,5786,5525,5579,1847.8630999999998
18.10.2017 05:00:00.000 GMT+0800,5578,5613,5110,5508,2096.9519999999998
19.10.2017 05:00:00.000 GMT+0800,5509,5741,5487,5701,1999.8984999999998
20.10.2017 05:00:00.000 GMT+0800,5701,6064,5619,5973,1895.4175999999998
21.10.2017 05:00:00.000 GMT+0800,5973,5973,5973,5973,0
22.10.2017 05:00:00.000 GMT+0800,5973,5973,5973,5973,0
23.10.2017 05:00:00.000 GMT+0800,5882,6059,5648,5914,2420.6265000000003
